block,time,moves,max_ferror_steps,count_error_steps,link_late,link_errors,mcu_bad_frames,watchdog,servo_tmax_us,motion_tmax_us,unoq_tmax_us,mcu_isr_max_us,temp_c,rss_rtapi_mb,rss_axis_mb,rss_task_mb,errors
46,2026-09-24T14:01:39,282,10.5,0,0,0,0,FALSE,368.5,316.0,113.1,2.24,53.5,59.2,200.8,18.7,
47,2026-09-24T14:11:51,235,10.2,0,0,0,0,FALSE,350.3,256.1,143.0,2.24,52.6,59.2,200.8,18.7,
48,2026-09-24T14:22:01,246,9.7,0,0,0,0,FALSE,315.3,229.5,118.2,2.24,53.5,59.2,200.8,18.7,
49,2026-09-24T14:32:05,265,9.6,0,0,0,0,FALSE,385.1,296.4,144.0,2.24,53.2,59.2,200.8,18.7,
50,2026-09-24T14:42:33,260,11.6,0,0,0,0,FALSE,341.6,266.4,122.6,2.24,53.8,59.2,200.8,18.7,
51,2026-09-24T14:52:42,336,22.4,0,0,0,0,FALSE,339.2,228.5,123.9,2.24,53.2,59.2,200.8,18.7,
52,2026-09-24T15:02:46,250,10.8,0,0,0,0,FALSE,374.4,239.7,176.6,2.24,53.5,59.2,200.8,18.7,
53,2026-09-24T15:12:49,227,15.0,0,0,0,0,FALSE,411.4,291.7,124.9,2.24,52.9,59.2,200.8,18.7,
54,2026-09-24T15:23:10,304,14.1,0,0,0,0,FALSE,430.9,364.0,139.0,2.24,53.2,59.2,200.8,18.7,
55,2026-09-24T15:33:20,284,11.2,0,0,0,0,FALSE,445.1,318.0,139.7,2.24,53.2,59.2,200.8,18.7,
56,2026-09-24T15:43:46,261,12.1,0,0,0,0,FALSE,371.4,265.6,130.7,2.24,53.8,59.2,200.8,18.7,
57,2026-09-24T15:53:49,189,14.2,0,0,0,0,FALSE,329.8,201.7,129.5,2.24,53.5,59.2,200.8,18.7,
58,2026-09-24T16:04:14,290,10.1,0,0,0,0,FALSE,328.6,251.3,160.9,2.24,53.5,59.2,200.8,18.7,
59,2026-09-24T16:14:16,221,10.9,0,0,0,0,FALSE,388.0,267.4,123.3,2.24,52.9,59.2,200.8,18.7,
60,2026-09-24T16:17:22,94,12.7,0,0,0,0,FALSE,267.3,239.1,81.8,2.24,53.8,59.2,200.8,18.7,
