2026-09-24T14:32:05 block 49: 265 moves, ferror 9.6 steps, count err 0, late 0, link err 0, servo 385.1 us, 53.2 C
2026-09-24T14:42:33 block 50: 260 moves, ferror 11.6 steps, count err 0, late 0, link err 0, servo 341.6 us, 53.8 C
2026-09-24T14:52:42 block 51: 336 moves, ferror 22.4 steps, count err 0, late 0, link err 0, servo 339.2 us, 53.2 C
2026-09-24T15:02:46 block 52: 250 moves, ferror 10.8 steps, count err 0, late 0, link err 0, servo 374.4 us, 53.5 C
2026-09-24T15:12:50 block 53: 227 moves, ferror 15.0 steps, count err 0, late 0, link err 0, servo 411.4 us, 52.9 C
2026-09-24T15:23:11 block 54: 304 moves, ferror 14.1 steps, count err 0, late 0, link err 0, servo 430.9 us, 53.2 C
2026-09-24T15:33:20 block 55: 284 moves, ferror 11.2 steps, count err 0, late 0, link err 0, servo 445.1 us, 53.2 C
2026-09-24T15:43:46 block 56: 261 moves, ferror 12.1 steps, count err 0, late 0, link err 0, servo 371.4 us, 53.8 C
2026-09-24T15:53:49 block 57: 189 moves, ferror 14.2 steps, count err 0, late 0, link err 0, servo 329.8 us, 53.5 C
2026-09-24T16:04:14 block 58: 290 moves, ferror 10.1 steps, count err 0, late 0, link err 0, servo 328.6 us, 53.5 C
2026-09-24T16:14:16 block 59: 221 moves, ferror 10.9 steps, count err 0, late 0, link err 0, servo 388.0 us, 52.9 C
2026-09-24T16:17:22 block 60: 94 moves, ferror 12.7 steps, count err 0, late 0, link err 0, servo 267.3 us, 53.8 C
2026-09-24T16:17:22 done: 60 blocks
